date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-12-06 00:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,23,30,30,27,37,46,83,0.0,1010,27,10,15,25,singapore
2020-12-06 03:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,23,29,29,26,36,53,83,0.0,1009,26,10,9,24,singapore
2020-12-06 06:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,23,29,29,26,32,49,83,0.0,1009,26,10,121,22,singapore
2020-12-06 09:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,23,30,30,27,30,58,80,0.0,1011,27,10,242,21,singapore
2020-12-06 12:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,24,33,33,29,28,71,72,0.3,1011,29,10,12,22,singapore
2020-12-06 15:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,24,34,34,30,31,81,71,1.1,1009,30,10,20,23,singapore
2020-12-06 18:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,24,32,32,28,32,86,75,1.6,1008,28,10,20,22,singapore
2020-12-06 21:00:00,30,26,0.0,7.4,7,53,No moonrise,11:45 AM,06:54 AM,06:57 PM,23,30,30,27,32,63,81,1.1,1011,27,9,14,22,singapore
2020-12-07 00:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,23,30,30,27,31,44,82,0.0,1011,27,10,12,21,singapore
2020-12-07 03:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,23,29,29,26,30,60,83,0.0,1010,26,10,124,20,singapore
2020-12-07 06:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,23,29,29,26,28,48,82,0.0,1010,26,10,357,19,singapore
2020-12-07 09:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,23,31,31,27,24,66,79,0.0,1011,27,10,239,17,singapore
2020-12-07 12:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,24,34,34,30,21,73,71,0.0,1011,30,10,4,15,singapore
2020-12-07 15:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,24,34,34,29,28,49,72,3.6,1009,29,8,117,15,singapore
2020-12-07 18:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,24,33,33,28,36,83,76,11.5,1008,28,3,230,17,singapore
2020-12-07 21:00:00,30,26,0.0,7.4,6,46,12:07 AM,12:34 PM,06:55 AM,06:58 PM,24,31,31,27,40,85,82,8.9,1011,27,5,2,21,singapore
2020-12-08 00:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,30,30,27,31,76,84,0.5,1011,27,9,4,21,singapore
2020-12-08 03:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,30,30,27,31,57,86,1.0,1010,27,10,120,21,singapore
2020-12-08 06:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,30,30,26,32,67,86,2.2,1010,26,10,353,21,singapore
2020-12-08 09:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,31,31,28,26,68,81,1.2,1011,28,10,348,18,singapore
2020-12-08 12:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,34,34,29,20,49,73,1.7,1011,29,9,342,14,singapore
2020-12-08 15:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,34,34,29,27,53,74,6.2,1008,29,6,349,14,singapore
2020-12-08 18:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,32,32,28,36,66,78,9.1,1008,28,3,351,17,singapore
2020-12-08 21:00:00,30,26,0.0,8.8,6,38,12:58 AM,01:24 PM,06:55 AM,06:58 PM,24,31,31,27,43,72,82,7.3,1009,27,5,238,22,singapore
